G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Oct 30 2007,7:00p EST,,Box Score,@,San Antonio Spurs,L,,97,106,0,1,L 1,
2,Fri Nov 2 2007,7:00p EST,,Box Score,@,New Orleans Hornets,L,,93,113,0,2,L 2,
3,Sat Nov 3 2007,7:30p EST,,Box Score,@,Houston Rockets,L,,80,89,0,3,L 3,
4,Wed Nov 7 2007,7:30p EST,,Box Score,,New Orleans Hornets,W,,93,90,1,3,W 1,
5,Fri Nov 9 2007,7:00p EST,,Box Score,,Memphis Grizzlies,W,,110,98,2,3,W 2,
6,Sat Nov 10 2007,7:00p EST,,Box Score,,Dallas Mavericks,W,,91,82,3,3,W 3,
7,Tue Nov 13 2007,7:00p EST,,Box Score,,Detroit Pistons,W,,102,94,4,3,W 4,
8,Wed Nov 14 2007,7:00p EST,,Box Score,@,Denver Nuggets,L,,93,110,4,4,L 1,
9,Fri Nov 16 2007,7:00p EST,,Box Score,@,Philadelphia 76ers,L,,88,92,4,5,L 2,
10,Sat Nov 17 2007,7:00p EST,,Box Score,@,Washington Wizards,L,,90,109,4,6,L 3,
11,Mon Nov 19 2007,7:00p EST,,Box Score,@,Charlotte Bobcats,L,,92,101,4,7,L 4,
12,Wed Nov 21 2007,7:00p EST,,Box Score,,New Jersey Nets,L,,101,106,4,8,L 5,
13,Fri Nov 23 2007,7:00p EST,,Box Score,,Sacramento Kings,W,,87,84,5,8,W 1,
14,Mon Nov 26 2007,7:00p EST,,Box Score,,Orlando Magic,L,,74,85,5,9,L 1,
15,Wed Nov 28 2007,7:00p EST,,Box Score,,Indiana Pacers,L,,89,95,5,10,L 2,
16,Fri Nov 30 2007,7:30p EST,,Box Score,@,Dallas Mavericks,L,,80,91,5,11,L 3,
17,Sun Dec 2 2007,2:30p EST,,Box Score,@,San Antonio Spurs,L,,79,100,5,12,L 4,
18,Mon Dec 3 2007,7:00p EST,,Box Score,@,Memphis Grizzlies,W,,106,105,6,12,W 1,
19,Thu Dec 6 2007,7:30p EST,,Box Score,,Miami Heat,W,,112,106,7,12,W 2,
20,Sun Dec 9 2007,3:00p EST,,Box Score,,Milwaukee Bucks,W,OT,117,113,8,12,W 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Tue Dec 11 2007,7:00p EST,,Box Score,@,Utah Jazz,W,,97,89,9,12,W 4,
22,Wed Dec 12 2007,7:00p EST,,Box Score,,Golden State Warriors,W,,105,95,10,12,W 5,
23,Fri Dec 14 2007,7:00p EST,,Box Score,,Utah Jazz,W,,99,91,11,12,W 6,
24,Sun Dec 16 2007,6:00p EST,,Box Score,@,Denver Nuggets,W,,116,105,12,12,W 7,
25,Mon Dec 17 2007,7:00p EST,,Box Score,,New Orleans Hornets,W,,88,76,13,12,W 8,
26,Wed Dec 19 2007,7:00p EST,,Box Score,,Toronto Raptors,W,,101,96,14,12,W 9,
27,Fri Dec 21 2007,7:00p EST,,Box Score,,Denver Nuggets,W,,99,96,15,12,W 10,
28,Tue Dec 25 2007,5:00p EST,,Box Score,,Seattle SuperSonics,W,,89,79,16,12,W 11,
29,Fri Dec 28 2007,7:00p EST,,Box Score,,Minnesota Timberwolves,W,,109,98,17,12,W 12,
30,Sun Dec 30 2007,3:00p EST,,Box Score,,Philadelphia 76ers,W,,97,72,18,12,W 13,
31,Mon Dec 31 2007,6:00p EST,,Box Score,@,Utah Jazz,L,,101,111,18,13,L 1,
32,Wed Jan 2 2008,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,90,79,19,13,W 1,
33,Thu Jan 3 2008,7:00p EST,,Box Score,@,Chicago Bulls,W,2OT,115,109,20,13,W 2,
34,Sat Jan 5 2008,7:00p EST,,Box Score,,Utah Jazz,W,,103,89,21,13,W 3,
35,Wed Jan 9 2008,7:00p EST,,Box Score,,Golden State Warriors,W,,109,91,22,13,W 4,
36,Sun Jan 13 2008,12:30p EST,,Box Score,@,Toronto Raptors,L,2OT,109,116,22,14,L 1,
37,Mon Jan 14 2008,7:30p EST,,Box Score,@,New Jersey Nets,W,,99,73,23,14,W 1,
38,Wed Jan 16 2008,7:30p EST,,Box Score,@,Boston Celtics,L,,90,100,23,15,L 1,
39,Fri Jan 18 2008,7:00p EST,,Box Score,@,Miami Heat,W,,98,91,24,15,W 1,
40,Sat Jan 19 2008,7:00p EST,,Box Score,@,Orlando Magic,L,,94,101,24,16,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Mon Jan 21 2008,2:00p EST,,Box Score,@,Atlanta Hawks,W,OT,111,109,25,16,W 1,
42,Wed Jan 23 2008,7:00p EST,,Box Score,@,New Orleans Hornets,L,,81,96,25,17,L 1,
43,Fri Jan 25 2008,7:00p EST,,Box Score,,Houston Rockets,L,,79,89,25,18,L 2,
44,Sun Jan 27 2008,3:00p EST,,Box Score,,Atlanta Hawks,W,,94,93,26,18,W 1,
45,Wed Jan 30 2008,6:00p EST,,Box Score,,Cleveland Cavaliers,L,,83,84,26,19,L 1,
46,Fri Feb 1 2008,7:30p EST,,Box Score,,New York Knicks,W,OT,94,88,27,19,W 1,
47,Mon Feb 4 2008,7:00p EST,,Box Score,,Denver Nuggets,L,OT,103,105,27,20,L 1,
48,Wed Feb 6 2008,7:00p EST,,Box Score,,Chicago Bulls,W,,100,97,28,20,W 1,
49,Fri Feb 8 2008,8:00p EST,,Box Score,@,Detroit Pistons,L,,82,91,28,21,L 1,
50,Sat Feb 9 2008,7:00p EST,,Box Score,@,Indiana Pacers,L,,93,101,28,22,L 2,
51,Mon Feb 11 2008,7:30p EST,,Box Score,@,Houston Rockets,L,,83,95,28,23,L 3,
52,Wed Feb 13 2008,7:30p EST,,Box Score,@,Dallas Mavericks,L,,76,96,28,24,L 4,
53,Tue Feb 19 2008,7:00p EST,,Box Score,,Sacramento Kings,L,,94,105,28,25,L 5,
54,Thu Feb 21 2008,7:30p EST,,Box Score,,Seattle SuperSonics,W,,92,88,29,25,W 1,
