G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Oct 28 2008,8:00p EST,,Box Score,,Cleveland Cavaliers,W,,90,85,1,0,W 1,
2,Fri Oct 31 2008,8:00p EST,,Box Score,,Chicago Bulls,W,,96,80,2,0,W 2,
3,Sat Nov 1 2008,7:00p EST,,Box Score,@,Indiana Pacers,L,,79,95,2,1,L 1,
4,Tue Nov 4 2008,7:30p EST,,Box Score,@,Houston Rockets,W,,103,99,3,1,W 1,
5,Wed Nov 5 2008,7:00p EST,,Box Score,@,Oklahoma City Thunder,W,,96,83,4,1,W 2,
6,Fri Nov 7 2008,7:30p EST,,Box Score,,Milwaukee Bucks,W,,101,89,5,1,W 3,
7,Sun Nov 9 2008,6:00p EST,,Box Score,@,Detroit Pistons,W,,88,76,6,1,W 4,
8,Mon Nov 10 2008,7:30p EST,,Box Score,,Toronto Raptors,W,,94,87,7,1,W 5,
9,Wed Nov 12 2008,7:30p EST,,Box Score,,Atlanta Hawks,W,,103,102,8,1,W 6,
10,Fri Nov 14 2008,8:00p EST,,Box Score,,Denver Nuggets,L,,85,94,8,2,L 1,
11,Sat Nov 15 2008,7:30p EST,,Box Score,@,Milwaukee Bucks,W,OT,102,97,9,2,W 1,
12,Tue Nov 18 2008,7:30p EST,,Box Score,,New York Knicks,W,,110,101,10,2,W 2,
13,Thu Nov 20 2008,8:00p EST,,Box Score,,Detroit Pistons,W,,98,80,11,2,W 3,
14,Fri Nov 21 2008,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,95,78,12,2,W 4,
15,Sun Nov 23 2008,12:30p EST,,Box Score,@,Toronto Raptors,W,,118,103,13,2,W 5,
16,Wed Nov 26 2008,7:30p EST,,Box Score,,Golden State Warriors,W,,119,111,14,2,W 6,
17,Fri Nov 28 2008,7:30p EST,,Box Score,,Philadelphia 76ers,W,,102,78,15,2,W 7,
18,Sat Nov 29 2008,7:00p EST,,Box Score,@,Charlotte Bobcats,W,,89,84,16,2,W 8,
19,Mon Dec 1 2008,7:30p EST,,Box Score,,Orlando Magic,W,,107,88,17,2,W 9,
20,Wed Dec 3 2008,7:30p EST,,Box Score,,Indiana Pacers,W,,114,96,18,2,W 10,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Fri Dec 5 2008,8:00p EST,,Box Score,,Portland Trail Blazers,W,,93,78,19,2,W 11,
22,Sun Dec 7 2008,6:00p EST,,Box Score,@,Indiana Pacers,W,OT,122,117,20,2,W 12,
