G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 29 2008,7:30p EST,,Box Score,@,Golden State Warriors,W,,108,103,1,0,W 1,
2,Thu Oct 30 2008,7:30p EST,,Box Score,@,Phoenix Suns,W,,108,95,2,0,W 2,
3,Sat Nov 1 2008,7:00p EST,,Box Score,,Cleveland Cavaliers,W,,104,92,3,0,W 3,
4,Wed Nov 5 2008,7:00p EST,,Box Score,,Atlanta Hawks,L,,79,87,3,1,L 1,
5,Fri Nov 7 2008,7:00p EST,,Box Score,@,Charlotte Bobcats,L,,89,92,3,2,L 2,
6,Sat Nov 8 2008,7:00p EST,,Box Score,,Miami Heat,W,,100,89,4,2,W 1,
7,Wed Nov 12 2008,7:00p EST,,Box Score,,Los Angeles Lakers,L,,86,93,4,3,L 1,
8,Fri Nov 14 2008,7:00p EST,,Box Score,,Portland Trail Blazers,W,,87,82,5,3,W 1,
9,Sat Nov 15 2008,7:30p EST,,Box Score,@,Houston Rockets,L,,82,91,5,4,L 1,
10,Wed Nov 19 2008,7:00p EST,,Box Score,,Sacramento Kings,L,,96,105,5,5,L 2,
11,Fri Nov 21 2008,8:30p EST,,Box Score,@,Oklahoma City Thunder,W,,105,80,6,5,W 1,
12,Sat Nov 22 2008,7:00p EST,,Box Score,,Oklahoma City Thunder,W,,109,97,7,5,W 2,
13,Mon Nov 24 2008,7:30p EST,,Box Score,@,Los Angeles Clippers,W,,99,87,8,5,W 3,
14,Thu Nov 27 2008,8:30p EST,,Box Score,@,Denver Nuggets,W,,105,101,9,5,W 4,
15,Fri Nov 28 2008,7:00p EST,,Box Score,@,Portland Trail Blazers,L,,86,101,9,6,L 1,
16,Wed Dec 3 2008,7:00p EST,,Box Score,,Phoenix Suns,W,,104,91,10,6,W 1,
17,Sat Dec 6 2008,7:00p EST,,Box Score,,Memphis Grizzlies,W,,106,87,11,6,W 2,
18,Wed Dec 10 2008,7:00p EST,,Box Score,,Charlotte Bobcats,W,,105,89,12,6,W 3,
19,Fri Dec 12 2008,8:00p EST,,Box Score,@,Boston Celtics,L,,82,94,12,7,L 1,
20,Sun Dec 14 2008,12:30p EST,,Box Score,@,Toronto Raptors,W,,99,91,13,7,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Tue Dec 16 2008,7:00p EST,,Box Score,@,Memphis Grizzlies,W,,91,84,14,7,W 2,
22,Wed Dec 17 2008,8:30p EST,,Box Score,,San Antonio Spurs,W,,90,83,15,7,W 3,
23,Sat Dec 20 2008,7:00p EST,,Box Score,,Sacramento Kings,W,,99,90,16,7,W 4,
24,Tue Dec 23 2008,7:00p EST,,Box Score,,Los Angeles Lakers,L,,87,100,16,8,L 1,
25,Thu Dec 25 2008,12:00p EST,,Box Score,@,Orlando Magic,L,,68,88,16,9,L 2,
