G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 28 2009,7:00p EST,,Box Score,,Sacramento Kings,W,,102,89,1,0,W 1,
2,Fri Oct 30 2009,8:00p EST,,Box Score,@,Detroit Pistons,W,,91,83,2,0,W 2,
3,Sun Nov 1 2009,6:00p EST,,Box Score,,Portland Trail Blazers,L,,74,83,2,1,L 1,
4,Tue Nov 3 2009,7:00p EST,,Box Score,,Los Angeles Lakers,L,OT,98,101,2,2,L 2,
5,Fri Nov 6 2009,7:30p EST,,Box Score,@,Houston Rockets,L,,94,105,2,3,L 3,
6,Sun Nov 8 2009,6:00p EST,,Box Score,,Orlando Magic,W,,102,74,3,3,W 1,
7,Tue Nov 10 2009,7:00p EST,,Box Score,@,Sacramento Kings,L,,98,101,3,4,L 1,
8,Wed Nov 11 2009,7:30p EST,,Box Score,@,Los Angeles Clippers,W,,83,79,4,4,W 1,
9,Sat Nov 14 2009,7:30p EST,,Box Score,@,San Antonio Spurs,W,,101,98,5,4,W 2,
10,Sun Nov 15 2009,6:00p EST,,Box Score,,Los Angeles Clippers,L,,93,101,5,5,L 1,
11,Tue Nov 17 2009,7:30p EST,,Box Score,@,Miami Heat,W,,100,87,6,5,W 1,
12,Wed Nov 18 2009,7:00p EST,,Box Score,@,Orlando Magic,L,,94,108,6,6,L 1,
13,Fri Nov 20 2009,7:00p EST,,Box Score,,Washington Wizards,W,,127,108,7,6,W 1,
14,Sun Nov 22 2009,6:30p EST,,Box Score,@,Los Angeles Lakers,L,,85,101,7,7,L 1,
15,Tue Nov 24 2009,7:00p EST,,Box Score,@,Utah Jazz,W,,104,94,8,7,W 1,
16,Fri Nov 27 2009,8:30p EST,,Box Score,,Milwaukee Bucks,W,,108,90,9,7,W 2,
17,Sun Nov 29 2009,6:00p EST,,Box Score,,Houston Rockets,L,,91,100,9,8,L 1,
18,Wed Dec 2 2009,7:00p EST,,Box Score,,Philadelphia 76ers,W,,117,106,10,8,W 1,
19,Fri Dec 4 2009,7:00p EST,,Box Score,,Boston Celtics,L,,87,105,10,9,L 1,
20,Mon Dec 7 2009,7:00p EST,,Box Score,,Golden State Warriors,W,,104,88,11,9,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Fri Dec 11 2009,7:00p EST,,Box Score,@,Memphis Grizzlies,W,,102,94,12,9,W 2,
22,Sun Dec 13 2009,6:00p EST,,Box Score,,Cleveland Cavaliers,L,,89,102,12,10,L 1,
23,Mon Dec 14 2009,7:00p EST,,Box Score,@,Denver Nuggets,L,,93,102,12,11,L 2,
24,Wed Dec 16 2009,7:00p EST,,Box Score,,Dallas Mavericks,L,,86,100,12,12,L 3,
25,Fri Dec 18 2009,7:00p EST,,Box Score,,Detroit Pistons,W,,109,98,13,12,W 1,
26,Sat Dec 19 2009,7:30p EST,,Box Score,@,Houston Rockets,L,,90,95,13,13,L 1,
27,Tue Dec 22 2009,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,108,111,13,14,L 2,
28,Wed Dec 23 2009,7:00p EST,,Box Score,@,Phoenix Suns,W,,117,113,14,14,W 1,
29,Sat Dec 26 2009,7:00p EST,,Box Score,,Charlotte Bobcats,W,,98,91,15,14,W 2,
30,Mon Dec 28 2009,7:30p EST,,Box Score,@,New Jersey Nets,W,,105,89,16,14,W 3,
31,Tue Dec 29 2009,7:00p EST,,Box Score,@,Washington Wizards,W,,110,98,17,14,W 4,
32,Thu Dec 31 2009,7:00p EST,,Box Score,,Utah Jazz,W,,87,86,18,14,W 5,
33,Sat Jan 2 2010,7:30p EST,,Box Score,@,Milwaukee Bucks,L,OT,97,103,18,15,L 1,
34,Mon Jan 4 2010,7:00p EST,,Box Score,@,Chicago Bulls,W,,98,85,19,15,W 1,
35,Wed Jan 6 2010,7:00p EST,,Box Score,,New Orleans Hornets,L,,92,97,19,16,L 1,
