G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 28 2009,7:00p EST,,Box Score,@,Orlando Magic,L,,106,120,0,1,L 1,
2,Fri Oct 30 2009,7:00p EST,,Box Score,,Milwaukee Bucks,W,,99,86,1,1,W 1,
3,Sat Oct 31 2009,7:30p EST,,Box Score,@,New York Knicks,W,OT,141,127,2,1,W 2,
4,Tue Nov 3 2009,7:00p EST,,Box Score,,Boston Celtics,L,,74,105,2,2,L 1,
5,Fri Nov 6 2009,7:00p EST,,Box Score,,New Jersey Nets,W,,97,94,3,2,W 1,
6,Sun Nov 8 2009,1:00p EST,,Box Score,@,Detroit Pistons,L,,81,88,3,3,L 1,
7,Mon Nov 9 2009,7:00p EST,,Box Score,,Phoenix Suns,L,,115,119,3,4,L 2,
8,Wed Nov 11 2009,7:30p EST,,Box Score,@,New Jersey Nets,W,,82,79,4,4,W 1,
9,Fri Nov 13 2009,7:00p EST,,Box Score,,Utah Jazz,L,,90,112,4,5,L 1,
10,Sat Nov 14 2009,7:00p EST,,Box Score,@,Chicago Bulls,L,,88,94,4,6,L 2,
11,Wed Nov 18 2009,7:00p EST,,Box Score,,Charlotte Bobcats,W,,86,84,5,6,W 1,
12,Fri Nov 20 2009,7:00p EST,,Box Score,,Memphis Grizzlies,L,,97,102,5,7,L 1,
13,Sat Nov 21 2009,7:30p EST,,Box Score,@,Cleveland Cavaliers,L,,91,97,5,8,L 2,
14,Tue Nov 24 2009,7:00p EST,,Box Score,@,Washington Wizards,L,,107,108,5,9,L 3,
15,Wed Nov 25 2009,7:30p EST,,Box Score,@,Boston Celtics,L,,110,113,5,10,L 4,
16,Fri Nov 27 2009,7:30p EST,,Box Score,,Atlanta Hawks,L,,86,100,5,11,L 5,
17,Sun Nov 29 2009,6:00p EST,,Box Score,@,San Antonio Spurs,L,,89,97,5,12,L 6,
18,Mon Nov 30 2009,7:30p EST,,Box Score,@,Dallas Mavericks,L,,102,104,5,13,L 7,
19,Wed Dec 2 2009,7:00p EST,,Box Score,@,Oklahoma City Thunder,L,,106,117,5,14,L 8,
20,Sat Dec 5 2009,7:00p EST,,Box Score,@,Charlotte Bobcats,L,,105,106,5,15,L 9,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Mon Dec 7 2009,7:00p EST,,Box Score,,Denver Nuggets,L,,83,93,5,16,L 10,
22,Wed Dec 9 2009,7:00p EST,,Box Score,,Detroit Pistons,L,,86,90,5,17,L 11,
23,Fri Dec 11 2009,7:00p EST,,Box Score,,Houston Rockets,L,,91,96,5,18,L 12,
24,Mon Dec 14 2009,7:00p EST,,Box Score,,Golden State Warriors,W,,117,101,6,18,W 1,
25,Wed Dec 16 2009,7:00p EST,,Box Score,,Cleveland Cavaliers,L,,101,108,6,19,L 1,
26,Fri Dec 18 2009,7:30p EST,,Box Score,@,Boston Celtics,W,,98,97,7,19,W 1,
27,Sat Dec 19 2009,7:30p EST,,Box Score,,Los Angeles Clippers,L,OT,107,112,7,20,L 1,
28,Tue Dec 22 2009,7:00p EST,,Box Score,@,Washington Wizards,L,,98,105,7,21,L 2,
29,Sat Dec 26 2009,7:00p EST,,Box Score,@,Utah Jazz,L,,76,97,7,22,L 3,
30,Mon Dec 28 2009,7:00p EST,,Box Score,@,Portland Trail Blazers,W,,104,93,8,22,W 1,
31,Wed Dec 30 2009,7:00p EST,,Box Score,@,Sacramento Kings,W,,116,106,9,22,W 2,
32,Thu Dec 31 2009,6:30p EST,,Box Score,@,Los Angeles Clippers,L,,88,104,9,23,L 1,
33,Sun Jan 3 2010,6:00p EST,,Box Score,@,Denver Nuggets,W,,108,105,10,23,W 1,
34,Tue Jan 5 2010,7:00p EST,,Box Score,,Washington Wizards,L,,97,104,10,24,L 1,
35,Fri Jan 8 2010,7:00p EST,,Box Score,,Toronto Raptors,L,,106,108,10,25,L 2,
36,Sat Jan 9 2010,7:30p EST,,Box Score,@,Detroit Pistons,W,,104,94,11,25,W 1,
37,Mon Jan 11 2010,7:00p EST,,Box Score,,New Orleans Hornets,W,,96,92,12,25,W 2,
38,Wed Jan 13 2010,7:00p EST,,Box Score,,New York Knicks,L,,92,93,12,26,L 1,
39,Fri Jan 15 2010,7:00p EST,,Box Score,,Sacramento Kings,W,,98,86,13,26,W 1,
40,Mon Jan 18 2010,2:30p EST,,Box Score,@,Minnesota Timberwolves,L,OT,103,108,13,27,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Wed Jan 20 2010,7:00p EST,,Box Score,,Portland Trail Blazers,L,,90,98,13,28,L 2,
42,Fri Jan 22 2010,7:00p EST,,Box Score,,Dallas Mavericks,W,,92,81,14,28,W 1,
43,Sat Jan 23 2010,7:00p EST,,Box Score,@,Indiana Pacers,W,,107,97,15,28,W 2,
44,Mon Jan 25 2010,7:00p EST,,Box Score,,Indiana Pacers,L,,98,109,15,29,L 1,
45,Wed Jan 27 2010,7:00p EST,,Box Score,@,Milwaukee Bucks,L,,88,91,15,30,L 2,
46,Fri Jan 29 2010,7:00p EST,,Box Score,,Los Angeles Lakers,L,,91,99,15,31,L 3,
47,Sun Jan 31 2010,6:00p EST,,Box Score,@,New Jersey Nets,W,,83,79,16,31,W 1,
48,Wed Feb 3 2010,7:00p EST,,Box Score,,Chicago Bulls,W,OT,106,103,17,31,W 2,
49,Fri Feb 5 2010,7:00p EST,,Box Score,@,New Orleans Hornets,W,,101,94,18,31,W 3,
50,Sat Feb 6 2010,7:30p EST,,Box Score,@,Houston Rockets,W,,102,95,19,31,W 4,
51,Tue Feb 9 2010,7:00p EST,,Box Score,,Minnesota Timberwolves,W,,119,97,20,31,W 5,
52,Wed Feb 10 2010,7:00p EST,,Box Score,@,Toronto Raptors,L,,93,104,20,32,L 1,
53,Tue Feb 16 2010,7:00p EST,,Box Score,,Miami Heat,L,,78,105,20,33,L 2,
54,Fri Feb 19 2010,7:00p EST,,Box Score,,San Antonio Spurs,W,,106,94,21,33,W 1,
55,Sat Feb 20 2010,7:00p EST,,Box Score,@,Chicago Bulls,L,,90,122,21,34,L 1,
56,Tue Feb 23 2010,7:30p EST,,Box Score,@,Golden State Warriors,W,,110,102,22,34,W 1,
57,Wed Feb 24 2010,7:00p EST,,Box Score,@,Phoenix Suns,L,,95,106,22,35,L 1,
58,Fri Feb 26 2010,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,90,99,22,36,L 2,
59,Mon Mar 1 2010,7:00p EST,,Box Score,,Orlando Magic,L,,105,126,22,37,L 3,
60,Wed Mar 3 2010,7:00p EST,,Box Score,@,Atlanta Hawks,L,,93,112,22,38,L 4,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Fri Mar 5 2010,7:00p EST,,Box Score,,Boston Celtics,L,,86,96,22,39,L 5,
62,Sun Mar 7 2010,12:00p EST,,Box Score,@,Toronto Raptors,W,,114,101,23,39,W 1,
63,Tue Mar 9 2010,7:00p EST,,Box Score,@,Indiana Pacers,L,,96,107,23,40,L 1,
64,Wed Mar 10 2010,7:00p EST,,Box Score,,Charlotte Bobcats,L,,87,102,23,41,L 2,
65,Fri Mar 12 2010,7:00p EST,,Box Score,,Cleveland Cavaliers,L,,95,100,23,42,L 3,
66,Sun Mar 14 2010,6:00p EST,,Box Score,@,Miami Heat,L,,91,104,23,43,L 4,
67,Mon Mar 15 2010,7:00p EST,,Box Score,,New York Knicks,L,,84,94,23,44,L 5,
68,Wed Mar 17 2010,7:00p EST,,Box Score,,New Jersey Nets,W,,108,97,24,44,W 1,
69,Fri Mar 19 2010,7:30p EST,,Box Score,@,New York Knicks,L,,88,92,24,45,L 1,
70,Sat Mar 20 2010,7:00p EST,,Box Score,,Chicago Bulls,L,,84,98,24,46,L 2,
71,Mon Mar 22 2010,7:00p EST,,Box Score,,Orlando Magic,L,,93,109,24,47,L 3,
72,Wed Mar 24 2010,7:00p EST,,Box Score,@,Milwaukee Bucks,W,,101,86,25,47,W 1,
73,Fri Mar 26 2010,7:00p EST,,Box Score,,Atlanta Hawks,W,,105,98,26,47,W 2,
74,Tue Mar 30 2010,7:00p EST,,Box Score,,Oklahoma City Thunder,L,,93,111,26,48,L 1,
75,Wed Mar 31 2010,7:00p EST,,Box Score,@,Charlotte Bobcats,L,,84,103,26,49,L 2,
76,Sat Apr 3 2010,1:00p EST,,Box Score,,Toronto Raptors,L,OT,123,128,26,50,L 3,
77,Tue Apr 6 2010,7:00p EST,,Box Score,,Detroit Pistons,L,,103,124,26,51,L 4,
78,Wed Apr 7 2010,7:30p EST,,Box Score,@,Miami Heat,L,,95,99,26,52,L 5,
79,Fri Apr 9 2010,7:00p EST,,Box Score,,Milwaukee Bucks,L,,90,95,26,53,L 6,
80,Sat Apr 10 2010,7:00p EST,,Box Score,@,Memphis Grizzlies,W,,120,101,27,53,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Mon Apr 12 2010,7:00p EST,,Box Score,,Miami Heat,L,,105,107,27,54,L 1,
82,Wed Apr 14 2010,8:00p EST,,Box Score,@,Orlando Magic,L,,111,125,27,55,L 2,
