G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 27 2010,7:00p EST,,Box Score,@,Memphis Grizzlies,W,,119,104,1,0,W 1,
2,Fri Oct 29 2010,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,104,101,2,0,W 2,
3,Sat Oct 30 2010,7:00p EST,,Box Score,,Washington Wizards,W,,99,95,3,0,W 3,
4,Tue Nov 2 2010,7:00p EST,,Box Score,@,Cleveland Cavaliers,W,,100,88,4,0,W 4,
5,Wed Nov 3 2010,7:00p EST,,Box Score,,Detroit Pistons,W,,94,85,5,0,W 5,
6,Fri Nov 5 2010,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,113,103,6,0,W 6,
7,Sun Nov 7 2010,5:00p EST,,Box Score,,Phoenix Suns,L,,114,118,6,1,L 1,
8,Mon Nov 8 2010,7:00p EST,,Box Score,@,Orlando Magic,L,,89,93,6,2,L 2,
9,Wed Nov 10 2010,7:00p EST,,Box Score,,Milwaukee Bucks,L,,91,108,6,3,L 3,
10,Fri Nov 12 2010,7:00p EST,,Box Score,,Utah Jazz,L,,86,90,6,4,L 4,
11,Sun Nov 14 2010,2:00p EST,,Box Score,,Minnesota Timberwolves,W,,111,105,7,4,W 1,
12,Tue Nov 16 2010,7:00p EST,,Box Score,@,Indiana Pacers,W,,102,92,8,4,W 2,
13,Sat Nov 20 2010,8:00p EST,,Box Score,,Dallas Mavericks,L,,93,98,8,5,L 1,
14,Mon Nov 22 2010,7:00p EST,,Box Score,,Boston Celtics,L,,76,99,8,6,L 2,
15,Tue Nov 23 2010,7:00p EST,,Box Score,@,New Jersey Nets,L,OT,101,107,8,7,L 3,
16,Thu Nov 25 2010,8:00p EST,,Box Score,,Washington Wizards,W,,116,96,9,7,W 1,
17,Sat Nov 27 2010,1:00p EST,,Box Score,@,New York Knicks,W,,99,90,10,7,W 2,
18,Sun Nov 28 2010,1:00p EST,,Box Score,@,Toronto Raptors,W,,96,78,11,7,W 3,
19,Wed Dec 1 2010,7:00p EST,,Box Score,,Memphis Grizzlies,W,,112,109,12,7,W 4,
20,Fri Dec 3 2010,7:30p EST,,Box Score,,Philadelphia 76ers,W,,93,88,13,7,W 5,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Sat Dec 4 2010,7:30p EST,,Box Score,@,Miami Heat,L,,77,89,13,8,L 1,
22,Mon Dec 6 2010,7:00p EST,,Box Score,@,Orlando Magic,W,,80,74,14,8,W 1,
23,Tue Dec 7 2010,7:00p EST,,Box Score,,New Jersey Nets,W,,116,101,15,8,W 2,
24,Fri Dec 10 2010,7:30p EST,,Box Score,@,San Antonio Spurs,L,,92,108,15,9,L 1,
25,Sat Dec 11 2010,7:00p EST,,Box Score,,Indiana Pacers,W,,97,83,16,9,W 1,
26,Tue Dec 14 2010,7:30p EST,,Box Score,@,Detroit Pistons,L,,80,103,16,10,L 1,
27,Thu Dec 16 2010,8:00p EST,,Box Score,@,Boston Celtics,L,,90,102,16,11,L 2,
28,Fri Dec 17 2010,7:30p EST,,Box Score,,Charlotte Bobcats,W,,90,85,17,11,W 1,
29,Sun Dec 19 2010,1:00p EST,,Box Score,@,New Jersey Nets,L,,82,89,17,12,L 1,
30,Mon Dec 20 2010,7:00p EST,,Box Score,,Orlando Magic,W,,91,81,18,12,W 1,
31,Wed Dec 22 2010,7:00p EST,,Box Score,,Cleveland Cavaliers,W,,98,84,19,12,W 2,
32,Sun Dec 26 2010,6:00p EST,,Box Score,@,New Orleans Hornets,L,,86,93,19,13,L 1,
33,Mon Dec 27 2010,7:00p EST,,Box Score,@,Milwaukee Bucks,W,,95,80,20,13,W 1,
34,Wed Dec 29 2010,7:00p EST,,Box Score,,Golden State Warriors,W,,103,93,21,13,W 2,
35,Fri Dec 31 2010,7:00p EST,,Box Score,@,Oklahoma City Thunder,L,,94,103,21,14,L 1,
36,Sun Jan 2 2011,12:30p EST,,Box Score,@,Los Angeles Clippers,W,,107,98,22,14,W 1,
37,Tue Jan 4 2011,7:00p EST,,Box Score,@,Sacramento Kings,W,,108,102,23,14,W 2,
38,Wed Jan 5 2011,7:00p EST,,Box Score,@,Utah Jazz,W,,110,87,24,14,W 3,
39,Sat Jan 8 2011,7:00p EST,,Box Score,,Indiana Pacers,W,,108,93,25,14,W 4,
40,Wed Jan 12 2011,7:00p EST,,Box Score,@,Toronto Raptors,W,,104,101,26,14,W 5,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Sat Jan 15 2011,7:00p EST,,Box Score,,Houston Rockets,L,,106,112,26,15,L 1,
42,Mon Jan 17 2011,4:00p EST,,Box Score,,Sacramento Kings,W,,100,98,27,15,W 1,
43,Tue Jan 18 2011,7:30p EST,,Box Score,@,Miami Heat,W,OT,93,89,28,15,W 2,
44,Fri Jan 21 2011,7:30p EST,,Box Score,,New Orleans Hornets,L,,59,100,28,16,L 1,
45,Sat Jan 22 2011,7:00p EST,,Box Score,@,Charlotte Bobcats,W,,103,87,29,16,W 1,
46,Wed Jan 26 2011,7:00p EST,,Box Score,@,Milwaukee Bucks,L,,90,98,29,17,L 1,
47,Fri Jan 28 2011,7:30p EST,,Box Score,,New York Knicks,W,,111,102,30,17,W 1,
48,Sat Jan 29 2011,7:30p EST,,Box Score,@,Dallas Mavericks,L,,91,102,30,18,L 1,
49,Wed Feb 2 2011,7:00p EST,,Box Score,,Toronto Raptors,W,,100,87,31,18,W 1,
50,Fri Feb 4 2011,7:30p EST,,Box Score,,Los Angeles Clippers,W,,101,100,32,18,W 2,
51,Sat Feb 5 2011,7:00p EST,,Box Score,@,Washington Wizards,W,,99,92,33,18,W 3,
52,Tue Feb 8 2011,7:00p EST,,Box Score,,Philadelphia 76ers,L,,83,117,33,19,L 1,
53,Sat Feb 12 2011,7:00p EST,,Box Score,,Charlotte Bobcats,L,,86,88,33,20,L 2,
54,Mon Feb 14 2011,7:30p EST,,Box Score,@,Detroit Pistons,W,,94,79,34,20,W 1,
55,Wed Feb 16 2011,7:30p EST,,Box Score,@,New York Knicks,L,,90,102,34,21,L 1,
