G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 27 2010,7:00p EST,,Box Score,@,Oklahoma City Thunder,L,,95,106,0,1,L 1,
2,Sat Oct 30 2010,7:00p EST,,Box Score,,Detroit Pistons,W,,101,91,1,1,W 1,
3,Mon Nov 1 2010,7:00p EST,,Box Score,,Portland Trail Blazers,W,,110,98,2,1,W 2,
4,Thu Nov 4 2010,7:00p EST,,Box Score,,New York Knicks,L,,112,120,2,2,L 1,
5,Fri Nov 5 2010,8:00p EST,,Box Score,@,Boston Celtics,L,OT,105,110,2,3,L 2,
6,Mon Nov 8 2010,7:00p EST,,Box Score,,Denver Nuggets,W,,94,92,3,3,W 1,
7,Thu Nov 11 2010,7:00p EST,,Box Score,,Golden State Warriors,W,,120,90,4,3,W 2,
8,Sat Nov 13 2010,7:00p EST,,Box Score,,Washington Wizards,W,,103,96,5,3,W 3,
9,Tue Nov 16 2010,7:30p EST,,Box Score,@,Houston Rockets,W,,95,92,6,3,W 4,
10,Wed Nov 17 2010,8:30p EST,,Box Score,@,San Antonio Spurs,L,,94,103,6,4,L 1,
11,Fri Nov 19 2010,8:30p EST,,Box Score,@,Dallas Mavericks,W,,88,83,7,4,W 1,
12,Tue Nov 23 2010,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,91,98,7,5,L 1,
13,Wed Nov 24 2010,7:00p EST,,Box Score,@,Phoenix Suns,W,2OT,123,115,8,5,W 1,
14,Fri Nov 26 2010,7:00p EST,,Box Score,@,Denver Nuggets,L,,97,98,8,6,L 1,
15,Sat Nov 27 2010,7:00p EST,,Box Score,@,Sacramento Kings,W,,96,85,9,6,W 1,
16,Wed Dec 1 2010,7:00p EST,,Box Score,,Orlando Magic,L,,78,107,9,7,L 1,
17,Fri Dec 3 2010,8:00p EST,,Box Score,@,Boston Celtics,L,,92,104,9,8,L 2,
18,Sat Dec 4 2010,7:00p EST,,Box Score,,Houston Rockets,W,OT,119,116,10,8,W 1,
19,Mon Dec 6 2010,7:00p EST,,Box Score,,Oklahoma City Thunder,W,,99,90,11,8,W 2,
20,Wed Dec 8 2010,7:00p EST,,Box Score,@,Cleveland Cavaliers,W,,88,83,12,8,W 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Fri Dec 10 2010,7:00p EST,,Box Score,,Los Angeles Lakers,W,,88,84,13,8,W 4,
22,Sat Dec 11 2010,7:00p EST,,Box Score,,Minnesota Timberwolves,W,,113,82,14,8,W 5,
23,Mon Dec 13 2010,7:00p EST,,Box Score,,Indiana Pacers,W,,92,73,15,8,W 6,
24,Wed Dec 15 2010,7:00p EST,,Box Score,@,Toronto Raptors,W,,110,93,16,8,W 7,
25,Sat Dec 18 2010,7:00p EST,,Box Score,,Los Angeles Clippers,L,,99,100,16,9,L 1,
26,Tue Dec 21 2010,7:00p EST,,Box Score,,Philadelphia 76ers,W,,121,76,17,9,W 1,
27,Wed Dec 22 2010,7:00p EST,,Box Score,@,Washington Wizards,W,,87,80,18,9,W 2,
28,Sat Dec 25 2010,12:00p EST,,Box Score,@,New York Knicks,L,,95,103,18,10,L 1,
29,Sun Dec 26 2010,6:00p EST,,Box Score,@,Detroit Pistons,W,OT,95,92,19,10,W 1,
30,Tue Dec 28 2010,7:00p EST,,Box Score,,Milwaukee Bucks,W,,90,77,20,10,W 2,
31,Fri Dec 31 2010,2:00p EST,,Box Score,,New Jersey Nets,W,,90,81,21,10,W 3,
32,Sat Jan 1 2011,6:00p EST,,Box Score,,Cleveland Cavaliers,W,,100,91,22,10,W 4,
33,Tue Jan 4 2011,7:00p EST,,Box Score,,Toronto Raptors,W,,111,91,23,10,W 5,
34,Wed Jan 5 2011,7:00p EST,,Box Score,@,New Jersey Nets,L,,94,96,23,11,L 1,
