G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 27 2010,7:30p EST,,Box Score,,Portland Trail Blazers,L,,88,98,0,1,L 1,
2,Fri Oct 29 2010,7:30p EST,,Box Score,@,Golden State Warriors,L,,91,109,0,2,L 2,
3,Sun Oct 31 2010,12:30p EST,,Box Score,,Dallas Mavericks,L,,83,99,0,3,L 3,
4,Mon Nov 1 2010,7:30p EST,,Box Score,,San Antonio Spurs,L,,88,97,0,4,L 4,
5,Wed Nov 3 2010,7:30p EST,,Box Score,,Oklahoma City Thunder,W,,107,92,1,4,W 1,
6,Fri Nov 5 2010,8:30p EST,,Box Score,@,Denver Nuggets,L,,104,111,1,5,L 1,
7,Sat Nov 6 2010,7:00p EST,,Box Score,@,Utah Jazz,L,2OT,107,109,1,6,L 2,
8,Tue Nov 9 2010,7:00p EST,,Box Score,@,New Orleans Hornets,L,,82,101,1,7,L 3,
9,Wed Nov 10 2010,8:30p EST,,Box Score,@,San Antonio Spurs,L,,95,107,1,8,L 4,
10,Fri Nov 12 2010,7:30p EST,,Box Score,,Detroit Pistons,L,OT,107,113,1,9,L 5,
11,Mon Nov 15 2010,7:30p EST,,Box Score,,New Jersey Nets,L,,96,110,1,10,L 6,
12,Wed Nov 17 2010,7:00p EST,,Box Score,@,Minnesota Timberwolves,L,,111,113,1,11,L 7,
13,Thu Nov 18 2010,7:00p EST,,Box Score,@,Indiana Pacers,L,,80,107,1,12,L 8,
14,Sat Nov 20 2010,7:30p EST,,Box Score,,New York Knicks,L,,115,124,1,13,L 9,
15,Mon Nov 22 2010,7:30p EST,,Box Score,,New Orleans Hornets,W,,99,95,2,13,W 1,
16,Thu Nov 25 2010,7:30p EST,,Box Score,,Sacramento Kings,W,,100,82,3,13,W 2,
17,Fri Nov 26 2010,7:00p EST,,Box Score,@,Phoenix Suns,L,,108,116,3,14,L 1,
18,Sun Nov 28 2010,12:30p EST,,Box Score,,Utah Jazz,L,,97,109,3,15,L 2,
19,Wed Dec 1 2010,7:30p EST,,Box Score,,San Antonio Spurs,W,,90,85,4,15,W 1,
20,Fri Dec 3 2010,7:00p EST,,Box Score,@,Denver Nuggets,L,,104,109,4,16,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Sun Dec 5 2010,6:00p EST,,Box Score,@,Portland Trail Blazers,L,,91,100,4,17,L 2,
22,Mon Dec 6 2010,7:30p EST,,Box Score,,Sacramento Kings,W,,98,91,5,17,W 1,
23,Wed Dec 8 2010,7:30p EST,,Box Score,,Los Angeles Lakers,L,,86,87,5,18,L 1,
