G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 27 2010,7:00p EST,,Box Score,,Atlanta Hawks,L,,104,119,0,1,L 1,
2,Fri Oct 29 2010,7:30p EST,,Box Score,@,Dallas Mavericks,W,,91,90,1,1,W 1,
3,Sat Oct 30 2010,7:00p EST,,Box Score,,Minnesota Timberwolves,W,,109,89,2,1,W 2,
4,Tue Nov 2 2010,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,105,124,2,2,L 1,
5,Wed Nov 3 2010,7:30p EST,,Box Score,@,Golden State Warriors,L,,109,115,2,3,L 2,
6,Fri Nov 5 2010,7:00p EST,,Box Score,@,Phoenix Suns,L,2OT,118,123,2,4,L 3,
7,Sat Nov 6 2010,7:00p EST,,Box Score,@,Sacramento Kings,W,,100,91,3,4,W 1,
8,Mon Nov 8 2010,7:00p EST,,Box Score,,Phoenix Suns,W,,109,99,4,4,W 2,
9,Wed Nov 10 2010,7:00p EST,,Box Score,,Dallas Mavericks,L,,91,106,4,5,L 1,
10,Sat Nov 13 2010,7:00p EST,,Box Score,,Boston Celtics,L,OT,110,116,4,6,L 2,
11,Mon Nov 15 2010,7:00p EST,,Box Score,@,Orlando Magic,L,,72,89,4,7,L 3,
12,Tue Nov 16 2010,7:00p EST,,Box Score,,Portland Trail Blazers,L,,99,100,4,8,L 4,
13,Fri Nov 19 2010,7:00p EST,,Box Score,@,Washington Wizards,L,,86,89,4,9,L 5,
14,Sat Nov 20 2010,7:00p EST,,Box Score,,Miami Heat,W,,97,95,5,9,W 1,
15,Wed Nov 24 2010,7:00p EST,,Box Score,,Detroit Pistons,W,,105,84,6,9,W 2,
16,Fri Nov 26 2010,8:30p EST,,Box Score,,Golden State Warriors,W,,116,111,7,9,W 3,
17,Sat Nov 27 2010,7:30p EST,,Box Score,@,Cleveland Cavaliers,L,,86,92,7,10,L 1,
18,Tue Nov 30 2010,7:00p EST,,Box Score,,Los Angeles Lakers,W,,98,96,8,10,W 1,
19,Wed Dec 1 2010,7:00p EST,,Box Score,@,Atlanta Hawks,L,,109,112,8,11,L 1,
20,Fri Dec 3 2010,7:00p EST,,Box Score,,Houston Rockets,L,,111,127,8,12,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Sun Dec 5 2010,6:00p EST,,Box Score,@,Denver Nuggets,L,,107,108,8,13,L 3,
22,Mon Dec 6 2010,7:00p EST,,Box Score,@,Utah Jazz,L,,85,94,8,14,L 4,
23,Wed Dec 8 2010,7:00p EST,,Box Score,@,Phoenix Suns,W,OT,104,98,9,14,W 1,
24,Sat Dec 11 2010,12:30p EST,,Box Score,@,Los Angeles Clippers,W,,84,83,10,14,W 2,
25,Mon Dec 13 2010,7:00p EST,,Box Score,,Portland Trail Blazers,W,,86,73,11,14,W 3,
26,Wed Dec 15 2010,7:00p EST,,Box Score,,Charlotte Bobcats,W,,113,80,12,14,W 4,
27,Fri Dec 17 2010,7:30p EST,,Box Score,@,Houston Rockets,L,,87,103,12,15,L 1,
28,Sat Dec 18 2010,7:30p EST,,Box Score,@,San Antonio Spurs,L,OT,106,112,12,16,L 2,
29,Tue Dec 21 2010,7:00p EST,,Box Score,,New Jersey Nets,L,,94,101,12,17,L 3,
30,Sun Dec 26 2010,7:00p EST,,Box Score,@,Indiana Pacers,W,,104,90,13,17,W 1,
31,Mon Dec 27 2010,7:00p EST,,Box Score,,Toronto Raptors,W,,96,85,14,17,W 2,
32,Wed Dec 29 2010,7:00p EST,,Box Score,@,Sacramento Kings,L,,98,100,14,18,L 1,
33,Sat Jan 1 2011,7:00p EST,,Box Score,@,Utah Jazz,L,,92,98,14,19,L 2,
34,Sun Jan 2 2011,6:30p EST,,Box Score,@,Los Angeles Lakers,W,,104,85,15,19,W 1,
35,Tue Jan 4 2011,7:00p EST,,Box Score,,Oklahoma City Thunder,W,,110,105,16,19,W 2,
36,Fri Jan 7 2011,7:00p EST,,Box Score,,Utah Jazz,W,,110,99,17,19,W 3,
37,Sat Jan 8 2011,7:00p EST,,Box Score,@,Oklahoma City Thunder,L,,100,109,17,20,L 1,
38,Mon Jan 10 2011,7:00p EST,,Box Score,@,Charlotte Bobcats,L,,82,96,17,21,L 2,
39,Wed Jan 12 2011,7:30p EST,,Box Score,@,Detroit Pistons,W,,107,99,18,21,W 1,
40,Sat Jan 15 2011,7:00p EST,,Box Score,,Dallas Mavericks,W,,89,70,19,21,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Mon Jan 17 2011,12:00p EST,,Box Score,,Chicago Bulls,L,,84,96,19,22,L 1,
42,Wed Jan 19 2011,7:00p EST,,Box Score,@,New Orleans Hornets,L,OT,102,103,19,23,L 2,
43,Fri Jan 21 2011,7:00p EST,,Box Score,,Houston Rockets,W,,115,110,20,23,W 1,
44,Sat Jan 22 2011,7:30p EST,,Box Score,@,Milwaukee Bucks,W,,94,81,21,23,W 2,
45,Mon Jan 24 2011,7:00p EST,,Box Score,@,Toronto Raptors,W,,100,98,22,23,W 3,
46,Wed Jan 26 2011,7:00p EST,,Box Score,@,New Jersey Nets,L,,88,93,22,24,L 1,
47,Fri Jan 28 2011,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,99,94,23,24,W 1,
48,Sat Jan 29 2011,7:00p EST,,Box Score,,Washington Wizards,W,,107,93,24,24,W 2,
49,Mon Jan 31 2011,7:00p EST,,Box Score,,Orlando Magic,W,,100,97,25,24,W 3,
50,Wed Feb 2 2011,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,102,84,26,24,W 4,
51,Fri Feb 4 2011,7:00p EST,,Box Score,,Cleveland Cavaliers,W,,112,105,27,24,W 5,
