G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 27 2010,7:00p EST,,Box Score,@,New Orleans Hornets,L,,91,95,0,1,L 1,
2,Fri Oct 29 2010,7:00p EST,,Box Score,@,Minnesota Timberwolves,L,,85,96,0,2,L 2,
3,Sat Oct 30 2010,7:30p EST,,Box Score,,Charlotte Bobcats,W,,98,88,1,2,W 1,
4,Tue Nov 2 2010,7:00p EST,,Box Score,,Portland Trail Blazers,L,,76,90,1,3,L 1,
5,Wed Nov 3 2010,8:00p EST,,Box Score,@,Boston Celtics,L,OT,102,105,1,4,L 2,
6,Fri Nov 5 2010,7:00p EST,,Box Score,@,Indiana Pacers,W,,94,90,2,4,W 1,
7,Sat Nov 6 2010,7:30p EST,,Box Score,,New Orleans Hornets,L,,81,87,2,5,L 1,
8,Tue Nov 9 2010,7:00p EST,,Box Score,,New York Knicks,W,,107,80,3,5,W 1,
9,Wed Nov 10 2010,7:00p EST,,Box Score,@,Atlanta Hawks,W,,108,91,4,5,W 2,
10,Sat Nov 13 2010,7:30p EST,,Box Score,,Golden State Warriors,W,,79,72,5,5,W 3,
11,Tue Nov 16 2010,7:00p EST,,Box Score,,Los Angeles Lakers,L,,107,118,5,6,L 1,
12,Fri Nov 19 2010,7:00p EST,,Box Score,@,Philadelphia 76ers,L,,79,90,5,7,L 2,
13,Sat Nov 20 2010,7:30p EST,,Box Score,,Oklahoma City Thunder,L,,81,82,5,8,L 3,
14,Wed Nov 24 2010,7:00p EST,,Box Score,@,Cleveland Cavaliers,L,,81,83,5,9,L 4,
15,Fri Nov 26 2010,7:30p EST,,Box Score,@,Detroit Pistons,L,,89,103,5,10,L 5,
16,Sat Nov 27 2010,8:00p EST,,Box Score,,Charlotte Bobcats,W,,104,101,6,10,W 1,
17,Mon Nov 29 2010,7:00p EST,,Box Score,@,Utah Jazz,L,,88,109,6,11,L 1,
18,Wed Dec 1 2010,7:00p EST,,Box Score,@,Denver Nuggets,L,,94,105,6,12,L 2,
19,Sat Dec 4 2010,7:30p EST,,Box Score,,Orlando Magic,W,,96,85,7,12,W 1,
20,Mon Dec 6 2010,7:00p EST,,Box Score,,Miami Heat,L,,78,88,7,13,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Wed Dec 8 2010,7:00p EST,,Box Score,,Indiana Pacers,W,,97,95,8,13,W 1,
22,Fri Dec 10 2010,7:30p EST,,Box Score,,Houston Rockets,W,,97,91,9,13,W 2,
23,Mon Dec 13 2010,7:30p EST,,Box Score,@,Dallas Mavericks,W,,103,99,10,13,W 3,
24,Wed Dec 15 2010,7:30p EST,,Box Score,@,San Antonio Spurs,L,,90,92,10,14,L 1,
25,Sat Dec 18 2010,7:30p EST,,Box Score,,Utah Jazz,L,,86,95,10,15,L 2,
26,Mon Dec 20 2010,7:00p EST,,Box Score,@,Portland Trail Blazers,L,,80,106,10,16,L 3,
27,Tue Dec 21 2010,7:30p EST,,Box Score,@,Los Angeles Lakers,W,,98,79,11,16,W 1,
28,Thu Dec 23 2010,7:00p EST,,Box Score,@,Sacramento Kings,W,,84,79,12,16,W 2,
29,Mon Dec 27 2010,7:00p EST,,Box Score,,Atlanta Hawks,L,,80,95,12,17,L 1,
30,Tue Dec 28 2010,7:00p EST,,Box Score,@,Chicago Bulls,L,,77,90,12,18,L 2,
31,Sat Jan 1 2011,8:00p EST,,Box Score,,Dallas Mavericks,W,,99,87,13,18,W 1,
32,Tue Jan 4 2011,7:30p EST,,Box Score,@,Miami Heat,L,,89,101,13,19,L 1,
33,Wed Jan 5 2011,7:00p EST,,Box Score,@,Orlando Magic,L,,87,97,13,20,L 2,
34,Fri Jan 7 2011,7:30p EST,,Box Score,,Miami Heat,L,OT,95,101,13,21,L 3,
35,Sat Jan 8 2011,7:00p EST,,Box Score,@,New Jersey Nets,W,,115,92,14,21,W 1,
36,Wed Jan 12 2011,7:00p EST,,Box Score,,San Antonio Spurs,L,,84,91,14,22,L 1,
37,Fri Jan 14 2011,7:00p EST,,Box Score,@,Philadelphia 76ers,L,,94,95,14,23,L 2,
38,Mon Jan 17 2011,2:00p EST,,Box Score,@,Houston Rockets,L,,84,93,14,24,L 3,
39,Wed Jan 19 2011,7:00p EST,,Box Score,,Washington Wizards,W,,100,87,15,24,W 1,
40,Fri Jan 21 2011,7:30p EST,,Box Score,@,Cleveland Cavaliers,W,,102,88,16,24,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
