G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 31 2012,7:00p EST,,Box Score,,Golden State Warriors,L,,85,87,0,1,L 1,
2,Fri Nov 2 2012,7:00p EST,,Box Score,,Detroit Pistons,W,,92,89,1,1,W 1,
3,Sun Nov 4 2012,6:00p EST,,Box Score,@,Orlando Magic,L,,94,115,1,2,L 1,
4,Mon Nov 5 2012,7:30p EST,,Box Score,@,Miami Heat,L,,99,124,1,3,L 2,
5,Wed Nov 7 2012,7:00p EST,,Box Score,@,Charlotte Bobcats,W,,117,110,2,3,W 1,
6,Fri Nov 9 2012,7:00p EST,,Box Score,,Cleveland Cavaliers,W,,107,105,3,3,W 2,
7,Sat Nov 10 2012,7:00p EST,,Box Score,@,Utah Jazz,L,,81,94,3,4,L 1,
8,Mon Nov 12 2012,7:00p EST,,Box Score,,Denver Nuggets,W,,110,100,4,4,W 1,
9,Wed Nov 14 2012,7:00p EST,,Box Score,,Chicago Bulls,L,OT,106,112,4,5,L 1,
10,Fri Nov 16 2012,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,102,114,4,6,L 2,
11,Sat Nov 17 2012,7:00p EST,,Box Score,,Miami Heat,L,,88,97,4,7,L 3,
12,Wed Nov 21 2012,7:00p EST,,Box Score,,Portland Trail Blazers,W,,114,87,5,7,W 1,
13,Fri Nov 23 2012,7:00p EST,,Box Score,,New Orleans Hornets,W,OT,111,108,6,7,W 2,
14,Sun Nov 25 2012,6:00p EST,,Box Score,@,Philadelphia 76ers,L,,101,104,6,8,L 1,
15,Tue Nov 27 2012,7:00p EST,,Box Score,@,Cleveland Cavaliers,W,,91,78,7,8,W 1,
16,Wed Nov 28 2012,7:30p EST,,Box Score,@,Detroit Pistons,L,,77,117,7,9,L 1,
17,Fri Nov 30 2012,7:00p EST,,Box Score,@,Toronto Raptors,L,,97,101,7,10,L 2,
18,Sun Dec 2 2012,12:00p EST,,Box Score,@,New York Knicks,L,,99,106,7,11,L 3,
