G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 29 2014,7:00p EST,,Box Score,,Milwaukee Bucks,W,OT,108,106,1,0,W 1,
2,Sat Nov 1 2014,7:00p EST,,Box Score,,Memphis Grizzlies,L,,69,71,1,1,L 1,
3,Sun Nov 2 2014,7:30p EST,,Box Score,@,New York Knicks,L,,93,96,1,2,L 2,
4,Tue Nov 4 2014,8:00p EST,,Box Score,@,New Orleans Pelicans,L,,91,100,1,3,L 3,
5,Wed Nov 5 2014,7:00p EST,,Box Score,,Miami Heat,W,,96,89,2,3,W 1,
6,Fri Nov 7 2014,7:00p EST,,Box Score,,Atlanta Hawks,W,2OT,122,119,3,3,W 2,
7,Sun Nov 9 2014,9:30p EST,,Box Score,@,Los Angeles Lakers,L,,92,107,3,4,L 1,
8,Tue Nov 11 2014,10:00p EST,,Box Score,@,Portland Trail Blazers,L,,100,102,3,5,L 2,
9,Fri Nov 14 2014,9:00p EST,,Box Score,@,Phoenix Suns,W,,103,95,4,5,W 1,
10,Sat Nov 15 2014,10:30p EST,,Box Score,@,Golden State Warriors,L,,87,112,4,6,L 1,
11,Mon Nov 17 2014,7:00p EST,,Box Score,,Dallas Mavericks,L,,80,107,4,7,L 2,
12,Wed Nov 19 2014,7:00p EST,,Box Score,@,Indiana Pacers,L,,86,88,4,8,L 3,
13,Fri Nov 21 2014,7:00p EST,,Box Score,,Orlando Magic,L,,100,105,4,9,L 4,
14,Sun Nov 23 2014,6:00p EST,,Box Score,@,Miami Heat,L,,93,94,4,10,L 5,
15,Mon Nov 24 2014,7:00p EST,,Box Score,,Los Angeles Clippers,L,,92,113,4,11,L 6,
16,Wed Nov 26 2014,7:00p EST,,Box Score,,Portland Trail Blazers,L,,97,105,4,12,L 7,
17,Fri Nov 28 2014,7:00p EST,,Box Score,,Golden State Warriors,L,,101,106,4,13,L 8,
18,Sat Nov 29 2014,7:30p EST,,Box Score,@,Atlanta Hawks,L,,75,105,4,14,L 9,
19,Wed Dec 3 2014,7:00p EST,,Box Score,,Chicago Bulls,L,,95,102,4,15,L 10,
20,Fri Dec 5 2014,7:00p EST,,Box Score,,New York Knicks,W,,103,102,5,15,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Wed Dec 10 2014,7:00p EST,,Box Score,,Boston Celtics,W,,96,87,6,15,W 2,
22,Fri Dec 12 2014,8:00p EST,,Box Score,@,Memphis Grizzlies,L,2OT,107,113,6,16,L 1,
23,Sat Dec 13 2014,7:00p EST,,Box Score,,Brooklyn Nets,L,,87,114,6,17,L 2,
24,Mon Dec 15 2014,7:00p EST,,Box Score,@,Cleveland Cavaliers,L,,88,97,6,18,L 3,
25,Wed Dec 17 2014,7:00p EST,,Box Score,,Phoenix Suns,L,,106,111,6,19,L 4,
26,Fri Dec 19 2014,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,109,91,7,19,W 1,
27,Sat Dec 20 2014,7:00p EST,,Box Score,,Utah Jazz,W,,104,86,8,19,W 2,
28,Mon Dec 22 2014,7:00p EST,,Box Score,,Denver Nuggets,W,,110,82,9,19,W 3,
29,Tue Dec 23 2014,8:00p EST,,Box Score,@,Milwaukee Bucks,W,,108,101,10,19,W 4,
30,Fri Dec 26 2014,8:00p EST,,Box Score,@,Oklahoma City Thunder,L,,75,98,10,20,L 1,
31,Sat Dec 27 2014,7:00p EST,,Box Score,,Orlando Magic,L,,94,102,10,21,L 2,
32,Mon Dec 29 2014,7:00p EST,,Box Score,,Milwaukee Bucks,L,OT,94,104,10,22,L 3,
33,Wed Dec 31 2014,7:00p EST,,Box Score,@,Houston Rockets,L,,83,102,10,23,L 4,
34,Fri Jan 2 2015,7:00p EST,,Box Score,,Cleveland Cavaliers,L,,87,91,10,24,L 5,
35,Sat Jan 3 2015,7:00p EST,,Box Score,@,Orlando Magic,W,,98,90,11,24,W 1,
36,Mon Jan 5 2015,7:30p EST,,Box Score,@,Boston Celtics,W,,104,95,12,24,W 2,
37,Wed Jan 7 2015,7:00p EST,,Box Score,,New Orleans Pelicans,W,,98,94,13,24,W 3,
38,Thu Jan 8 2015,7:30p EST,,Box Score,@,Toronto Raptors,W,,103,95,14,24,W 4,
39,Sat Jan 10 2015,1:00p EST,,Box Score,@,New York Knicks,W,,110,82,15,24,W 5,
40,Wed Jan 14 2015,7:00p EST,,Box Score,,San Antonio Spurs,L,,93,98,15,25,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Sat Jan 17 2015,7:00p EST,,Box Score,,Indiana Pacers,W,OT,80,71,16,25,W 1,
42,Mon Jan 19 2015,2:00p EST,,Box Score,,Minnesota Timberwolves,W,,105,80,17,25,W 2,
43,Wed Jan 21 2015,7:00p EST,,Box Score,,Miami Heat,W,,78,76,18,25,W 3,
44,Fri Jan 23 2015,7:30p EST,,Box Score,@,Cleveland Cavaliers,L,,90,129,18,26,L 1,
45,Sat Jan 24 2015,7:00p EST,,Box Score,,New York Knicks,W,,76,71,19,26,W 1,
46,Wed Jan 28 2015,8:30p EST,,Box Score,@,San Antonio Spurs,L,,86,95,19,27,L 1,
47,Sat Jan 31 2015,9:00p EST,,Box Score,@,Denver Nuggets,W,,104,86,20,27,W 1,
48,Mon Feb 2 2015,7:00p EST,,Box Score,@,Washington Wizards,W,,92,88,21,27,W 2,
49,Thu Feb 5 2015,7:00p EST,,Box Score,,Washington Wizards,W,,94,87,22,27,W 3,
50,Sat Feb 7 2015,7:30p EST,,Box Score,@,Philadelphia 76ers,L,,81,89,22,28,L 1,
51,Sun Feb 8 2015,6:00p EST,,Box Score,,Indiana Pacers,L,,102,103,22,29,L 2,
52,Tue Feb 10 2015,7:00p EST,,Box Score,,Detroit Pistons,L,,78,106,22,30,L 3,
53,Sat Feb 21 2015,7:00p EST,,Box Score,,Oklahoma City Thunder,L,,103,110,22,31,L 4,
54,Sun Feb 22 2015,7:30p EST,,Box Score,@,Dallas Mavericks,L,,81,92,22,32,L 5,
55,Wed Feb 25 2015,8:00p EST,,Box Score,@,Chicago Bulls,W,,98,86,23,32,W 1,
56,Fri Feb 27 2015,7:30p EST,,Box Score,@,Boston Celtics,L,,98,106,23,33,L 1,
57,Sun Mar 1 2015,6:00p EST,,Box Score,@,Orlando Magic,W,,98,83,24,33,W 1,
58,Tue Mar 3 2015,7:00p EST,,Box Score,,Los Angeles Lakers,W,,104,103,25,33,W 2,
59,Wed Mar 4 2015,7:30p EST,,Box Score,@,Brooklyn Nets,W,,115,91,26,33,W 3,
60,Fri Mar 6 2015,7:00p EST,,Box Score,,Toronto Raptors,W,,103,94,27,33,W 4,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Sun Mar 8 2015,6:00p EST,,Box Score,@,Detroit Pistons,W,,108,101,28,33,W 5,
62,Mon Mar 9 2015,7:00p EST,,Box Score,,Washington Wizards,L,,69,95,28,34,L 1,
63,Wed Mar 11 2015,7:00p EST,,Box Score,,Sacramento Kings,L,,106,113,28,35,L 2,
64,Fri Mar 13 2015,7:00p EST,,Box Score,,Chicago Bulls,W,,101,91,29,35,W 1,
65,Mon Mar 16 2015,9:00p EST,,Box Score,@,Utah Jazz,L,,66,94,29,36,L 1,
66,Tue Mar 17 2015,10:30p EST,,Box Score,@,Los Angeles Clippers,L,,92,99,29,37,L 2,
67,Fri Mar 20 2015,10:00p EST,,Box Score,@,Sacramento Kings,L,,91,101,29,38,L 3,
68,Sun Mar 22 2015,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,109,98,30,38,W 1,
69,Mon Mar 23 2015,8:00p EST,,Box Score,@,Chicago Bulls,L,,86,98,30,39,L 1,
70,Wed Mar 25 2015,7:00p EST,,Box Score,,Brooklyn Nets,L,,88,91,30,40,L 2,
71,Fri Mar 27 2015,7:00p EST,,Box Score,@,Washington Wizards,L,2OT,107,110,30,41,L 3,
72,Sat Mar 28 2015,7:00p EST,,Box Score,,Atlanta Hawks,W,,115,100,31,41,W 1,
73,Mon Mar 30 2015,7:00p EST,,Box Score,,Boston Celtics,L,,104,116,31,42,L 1,
74,Wed Apr 1 2015,7:00p EST,,Box Score,,Detroit Pistons,W,,102,78,32,42,W 1,
75,Fri Apr 3 2015,7:00p EST,,Box Score,@,Indiana Pacers,L,,74,93,32,43,L 1,
76,Sat Apr 4 2015,7:00p EST,,Box Score,,Philadelphia 76ers,W,,92,91,33,43,W 1,
77,Tue Apr 7 2015,7:30p EST,,Box Score,@,Miami Heat,L,,100,105,33,44,L 1,
78,Wed Apr 8 2015,7:00p EST,,Box Score,,Toronto Raptors,L,,74,92,33,45,L 2,
79,Fri Apr 10 2015,7:30p EST,,Box Score,@,Atlanta Hawks,L,,80,104,33,46,L 3,
80,Sun Apr 12 2015,3:30p EST,,Box Score,@,Detroit Pistons,L,,77,116,33,47,L 4,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Mon Apr 13 2015,7:00p EST,,Box Score,,Houston Rockets,L,,90,100,33,48,L 5,
82,Wed Apr 15 2015,7:00p EST,ESPN,Box Score,@,Toronto Raptors,L,,87,92,33,49,L 6,
