G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 29 2014,7:30p EST,,Box Score,@,Miami Heat,L,,95,107,0,1,L 1,
2,Thu Oct 30 2014,7:00p EST,,Box Score,@,Orlando Magic,W,,105,98,1,1,W 1,
3,Sat Nov 1 2014,7:00p EST,,Box Score,,Milwaukee Bucks,W,,108,97,2,1,W 2,
4,Tue Nov 4 2014,7:30p EST,,Box Score,@,New York Knicks,W,,98,83,3,1,W 3,
5,Wed Nov 5 2014,8:00p EST,,Box Score,,Indiana Pacers,W,OT,96,94,4,1,W 4,
6,Fri Nov 7 2014,7:30p EST,,Box Score,@,Toronto Raptors,L,,84,103,4,2,L 1,
7,Sat Nov 8 2014,7:00p EST,,Box Score,@,Indiana Pacers,W,,97,90,5,2,W 1,
8,Wed Nov 12 2014,7:00p EST,,Box Score,,Detroit Pistons,W,,107,103,6,2,W 2,
9,Sat Nov 15 2014,7:00p EST,,Box Score,,Orlando Magic,W,,98,93,7,2,W 3,
10,Wed Nov 19 2014,7:00p EST,,Box Score,,Dallas Mavericks,L,,102,105,7,3,L 1,
11,Fri Nov 21 2014,8:00p EST,,Box Score,,Cleveland Cavaliers,W,,91,78,8,3,W 1,
12,Sat Nov 22 2014,8:30p EST,,Box Score,@,Milwaukee Bucks,W,,111,100,9,3,W 2,
13,Tue Nov 25 2014,7:00p EST,,Box Score,,Atlanta Hawks,L,,102,106,9,4,L 1,
14,Wed Nov 26 2014,7:00p EST,,Box Score,@,Cleveland Cavaliers,L,,87,113,9,5,L 2,
15,Sat Nov 29 2014,7:00p EST,,Box Score,,New Orleans Pelicans,W,,83,80,10,5,W 1,
16,Mon Dec 1 2014,7:00p EST,,Box Score,,Miami Heat,W,,107,86,11,5,W 2,
17,Wed Dec 3 2014,7:00p EST,,Box Score,,Los Angeles Lakers,W,,111,95,12,5,W 3,
18,Fri Dec 5 2014,7:00p EST,,Box Score,,Denver Nuggets,W,,119,89,13,5,W 4,
19,Sun Dec 7 2014,1:00p EST,,Box Score,@,Boston Celtics,L,,93,101,13,6,L 1,
20,Mon Dec 8 2014,7:00p EST,,Box Score,,Boston Celtics,W,2OT,133,132,14,6,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Wed Dec 10 2014,7:00p EST,,Box Score,@,Orlando Magic,W,,91,89,15,6,W 2,
22,Fri Dec 12 2014,7:00p EST,,Box Score,,Los Angeles Clippers,W,,104,96,16,6,W 3,
23,Sun Dec 14 2014,6:00p EST,,Box Score,,Utah Jazz,W,,93,84,17,6,W 4,
24,Tue Dec 16 2014,7:00p EST,,Box Score,,Minnesota Timberwolves,W,,109,95,18,6,W 5,
25,Fri Dec 19 2014,7:30p EST,,Box Score,@,Miami Heat,W,,105,103,19,6,W 6,
26,Sun Dec 21 2014,6:00p EST,,Box Score,,Phoenix Suns,L,,92,104,19,7,L 1,
27,Tue Dec 23 2014,7:00p EST,,Box Score,,Chicago Bulls,L,,91,99,19,8,L 2,
28,Thu Dec 25 2014,12:00p EST,,Box Score,@,New York Knicks,W,,102,91,20,8,W 1,
29,Sat Dec 27 2014,7:00p EST,,Box Score,,Boston Celtics,W,,101,88,21,8,W 2,
30,Mon Dec 29 2014,8:00p EST,,Box Score,@,Houston Rockets,W,,104,103,22,8,W 3,
31,Tue Dec 30 2014,8:30p EST,,Box Score,@,Dallas Mavericks,L,,87,114,22,9,L 1,
32,Fri Jan 2 2015,8:00p EST,,Box Score,@,Oklahoma City Thunder,L,,102,109,22,10,L 2,
33,Sat Jan 3 2015,8:30p EST,,Box Score,@,San Antonio Spurs,L,,92,101,22,11,L 3,
34,Mon Jan 5 2015,8:00p EST,,Box Score,@,New Orleans Pelicans,W,,92,85,23,11,W 1,
35,Wed Jan 7 2015,7:00p EST,,Box Score,,New York Knicks,W,,101,91,24,11,W 2,
36,Fri Jan 9 2015,8:00p EST,,Box Score,,Chicago Bulls,W,,102,86,25,11,W 3,
37,Sun Jan 11 2015,3:00p EST,,Box Score,@,Atlanta Hawks,L,,89,120,25,12,L 1,
38,Tue Jan 13 2015,7:00p EST,,Box Score,,San Antonio Spurs,W,,101,93,26,12,W 1,
39,Wed Jan 14 2015,8:00p EST,,Box Score,@,Chicago Bulls,W,,105,99,27,12,W 2,
40,Fri Jan 16 2015,7:00p EST,,Box Score,,Brooklyn Nets,L,,80,102,27,13,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Sat Jan 17 2015,8:00p EST,,Box Score,@,Brooklyn Nets,W,,99,90,28,13,W 1,
42,Mon Jan 19 2015,2:00p EST,,Box Score,,Philadelphia 76ers,W,,111,76,29,13,W 2,
43,Wed Jan 21 2015,8:00p EST,,Box Score,,Oklahoma City Thunder,L,OT,103,105,29,14,L 1,
44,Sat Jan 24 2015,10:00p EST,,Box Score,@,Portland Trail Blazers,L,,96,103,29,15,L 2,
45,Sun Jan 25 2015,8:00p EST,,Box Score,@,Denver Nuggets,W,OT,117,115,30,15,W 1,
46,Tue Jan 27 2015,10:30p EST,,Box Score,@,Los Angeles Lakers,W,,98,92,31,15,W 2,
47,Wed Jan 28 2015,10:30p EST,,Box Score,@,Phoenix Suns,L,,98,106,31,16,L 1,
48,Sat Jan 31 2015,7:00p EST,,Box Score,,Toronto Raptors,L,OT,116,120,31,17,L 2,
49,Mon Feb 2 2015,7:00p EST,,Box Score,,Charlotte Hornets,L,,88,92,31,18,L 3,
50,Wed Feb 4 2015,7:30p EST,,Box Score,@,Atlanta Hawks,L,,96,105,31,19,L 4,
51,Thu Feb 5 2015,7:00p EST,,Box Score,@,Charlotte Hornets,L,,87,94,31,20,L 5,
52,Sat Feb 7 2015,7:00p EST,,Box Score,,Brooklyn Nets,W,,114,77,32,20,W 1,
53,Mon Feb 9 2015,7:00p EST,,Box Score,,Orlando Magic,W,,96,80,33,20,W 2,
54,Wed Feb 11 2015,7:30p EST,,Box Score,@,Toronto Raptors,L,,93,95,33,21,L 1,
55,Fri Feb 20 2015,8:00p EST,,Box Score,,Cleveland Cavaliers,L,,89,127,33,22,L 2,
56,Sun Feb 22 2015,3:30p EST,,Box Score,@,Detroit Pistons,L,,89,106,33,23,L 3,
57,Tue Feb 24 2015,7:00p EST,,Box Score,,Golden State Warriors,L,,107,114,33,24,L 4,
58,Wed Feb 25 2015,8:00p EST,,Box Score,@,Minnesota Timberwolves,L,,77,97,33,25,L 5,
59,Fri Feb 27 2015,7:00p EST,,Box Score,@,Philadelphia 76ers,L,,81,89,33,26,L 6,
60,Sat Feb 28 2015,7:00p EST,,Box Score,,Detroit Pistons,W,,99,95,34,26,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Tue Mar 3 2015,8:00p EST,,Box Score,@,Chicago Bulls,L,,92,97,34,27,L 1,
62,Fri Mar 6 2015,7:00p EST,ESPN,Box Score,,Miami Heat,W,,99,97,35,27,W 1,
63,Sat Mar 7 2015,8:30p EST,,Box Score,@,Milwaukee Bucks,L,,85,91,35,28,L 1,
